date,location,latitude,longitude,temperature_max_c,temperature_min_c,precipitation_mm,max_wind_kmh,weather_code
2026-09-01,Paradip,20.32,86.61,32.1,25.0,0.0,23.0,2
2026-09-02,Paradip,20.32,86.61,31.5,25.6,1.2,26.8,3
2026-08-04,Visakhapatnam,17.69,83.22,31.0,25.0,0.0,18.0,1
2026-08-05,Visakhapatnam,17.69,83.22,32.3,25.6,2.4,21.8,2
2026-08-06,Visakhapatnam,17.69,83.22,31.7,25.0,8.6,25.5,61
2026-08-07,Visakhapatnam,17.69,83.22,31.2,25.6,0.0,19.2,3
2026-08-08,Visakhapatnam,17.69,83.22,32.4,25.0,14.2,23.0,63
2026-08-09,Visakhapatnam,17.69,83.22,31.9,25.6,3.1,26.8,80
2026-08-10,Visakhapatnam,17.69,83.22,31.4,25.0,0.0,20.5,1
2026-08-11,Visakhapatnam,17.69,83.22,32.6,25.6,5.8,24.2,61
2026-08-12,Visakhapatnam,17.69,83.22,32.1,25.0,0.0,18.0,2
2026-08-13,Visakhapatnam,17.69,83.22,31.5,25.6,1.2,21.8,3
2026-08-14,Visakhapatnam,17.69,83.22,31.0,25.0,0.0,25.5,1
2026-08-15,Visakhapatnam,17.69,83.22,32.3,25.6,2.4,19.2,2
2026-08-16,Visakhapatnam,17.69,83.22,31.7,25.0,8.6,23.0,61
2026-08-17,Visakhapatnam,17.69,83.22,31.2,25.6,0.0,26.8,3
2026-08-18,Visakhapatnam,17.69,83.22,32.4,25.0,14.2,20.5,63
2026-08-19,Visakhapatnam,17.69,83.22,31.9,25.6,3.1,24.2,80
2026-08-20,Visakhapatnam,17.69,83.22,31.4,25.0,0.0,18.0,1
2026-08-21,Visakhapatnam,17.69,83.22,32.6,25.6,5.8,21.8,61
2026-08-22,Visakhapatnam,17.69,83.22,32.1,25.0,0.0,25.5,2
2026-08-23,Visakhapatnam,17.69,83.22,31.5,25.6,1.2,19.2,3
2026-08-24,Visakhapatnam,17.69,83.22,31.0,25.0,0.0,23.0,1
2026-08-25,Visakhapatnam,17.69,83.22,32.3,25.6,2.4,26.8,2
2026-08-26,Visakhapatnam,17.69,83.22,31.7,25.0,8.6,20.5,61
2026-08-27,Visakhapatnam,17.69,83.22,31.2,25.6,0.0,24.2,3
2026-08-28,Visakhapatnam,17.69,83.22,32.4,25.0,14.2,18.0,63
2026-08-29,Visakhapatnam,17.69,83.22,31.9,25.6,3.1,21.8,80
2026-08-30,Visakhapatnam,17.69,83.22,31.4,25.0,0.0,25.5,1
2026-08-31,Visakhapatnam,17.69,83.22,32.6,25.6,5.8,19.2,61
2026-09-01,Visakhapatnam,17.69,83.22,32.1,25.0,0.0,23.0,2
2026-09-02,Visakhapatnam,17.69,83.22,31.5,25.6,1.2,26.8,3
2026-08-04,Kolkata,22.55,88.33,31.0,25.0,0.0,18.0,1
2026-08-05,Kolkata,22.55,88.33,32.3,25.6,2.4,21.8,2
2026-08-06,Kolkata,22.55,88.33,31.7,25.0,8.6,25.5,61
2026-08-07,Kolkata,22.55,88.33,31.2,25.6,0.0,19.2,3
2026-08-08,Kolkata,22.55,88.33,32.4,25.0,14.2,23.0,63
2026-08-09,Kolkata,22.55,88.33,31.9,25.6,3.1,26.8,80
2026-08-10,Kolkata,22.55,88.33,31.4,25.0,0.0,20.5,1
2026-08-11,Kolkata,22.55,88.33,32.6,25.6,5.8,24.2,61
2026-08-12,Kolkata,22.55,88.33,32.1,25.0,0.0,18.0,2
2026-08-13,Kolkata,22.55,88.33,31.5,25.6,1.2,21.8,3
2026-08-14,Kolkata,22.55,88.33,31.0,25.0,0.0,25.5,1
2026-08-15,Kolkata,22.55,88.33,32.3,25.6,2.4,19.2,2
2026-08-16,Kolkata,22.55,88.33,31.7,25.0,8.6,23.0,61
2026-08-17,Kolkata,22.55,88.33,31.2,25.6,0.0,26.8,3
2026-08-18,Kolkata,22.55,88.33,32.4,25.0,14.2,20.5,63
2026-08-19,Kolkata,22.55,88.33,31.9,25.6,3.1,24.2,80
2026-08-20,Kolkata,22.55,88.33,31.4,25.0,0.0,18.0,1
2026-08-21,Kolkata,22.55,88.33,32.6,25.6,5.8,21.8,61
2026-08-22,Kolkata,22.55,88.33,32.1,25.0,0.0,25.5,2
2026-08-23,Kolkata,22.55,88.33,31.5,25.6,1.2,19.2,3
2026-08-24,Kolkata,22.55,88.33,31.0,25.0,0.0,23.0,1
2026-08-25,Kolkata,22.55,88.33,32.3,25.6,2.4,26.8,2
2026-08-26,Kolkata,22.55,88.33,31.7,25.0,8.6,20.5,61
2026-08-27,Kolkata,22.55,88.33,31.2,25.6,0.0,24.2,3
2026-08-28,Kolkata,22.55,88.33,32.4,25.0,14.2,18.0,63
2026-08-29,Kolkata,22.55,88.33,31.9,25.6,3.1,21.8,80
2026-08-30,Kolkata,22.55,88.33,31.4,25.0,0.0,25.5,1
2026-08-31,Kolkata,22.55,88.33,32.6,25.6,5.8,19.2,61
2026-09-01,Kolkata,22.55,88.33,32.1,25.0,0.0,23.0,2
2026-09-02,Kolkata,22.55,88.33,31.5,25.6,1.2,26.8,3
2026-08-04,Chennai,13.1,80.29,31.0,25.0,0.0,18.0,1
2026-08-05,Chennai,13.1,80.29,32.3,25.6,2.4,21.8,2
2026-08-06,Chennai,13.1,80.29,31.7,25.0,8.6,25.5,61
2026-08-07,Chennai,13.1,80.29,31.2,25.6,0.0,19.2,3
2026-08-08,Chennai,13.1,80.29,32.4,25.0,14.2,23.0,63
2026-08-09,Chennai,13.1,80.29,31.9,25.6,3.1,26.8,80
2026-08-10,Chennai,13.1,80.29,31.4,25.0,0.0,20.5,1
2026-08-11,Chennai,13.1,80.29,32.6,25.6,5.8,24.2,61
2026-08-12,Chennai,13.1,80.29,32.1,25.0,0.0,18.0,2
2026-08-13,Chennai,13.1,80.29,31.5,25.6,1.2,21.8,3
2026-08-14,Chennai,13.1,80.29,31.0,25.0,0.0,25.5,1
2026-08-15,Chennai,13.1,80.29,32.3,25.6,2.4,19.2,2
2026-08-16,Chennai,13.1,80.29,31.7,25.0,8.6,23.0,61
2026-08-17,Chennai,13.1,80.29,31.2,25.6,0.0,26.8,3
2026-08-18,Chennai,13.1,80.29,32.4,25.0,14.2,20.5,63
2026-08-19,Chennai,13.1,80.29,31.9,25.6,3.1,24.2,80
2026-08-20,Chennai,13.1,80.29,31.4,25.0,0.0,18.0,1
2026-08-21,Chennai,13.1,80.29,32.6,25.6,5.8,21.8,61
2026-08-22,Chennai,13.1,80.29,32.1,25.0,0.0,25.5,2
2026-08-23,Chennai,13.1,80.29,31.5,25.6,1.2,19.2,3
2026-08-24,Chennai,13.1,80.29,31.0,25.0,0.0,23.0,1
2026-08-25,Chennai,13.1,80.29,32.3,25.6,2.4,26.8,2
2026-08-26,Chennai,13.1,80.29,31.7,25.0,8.6,20.5,61
2026-08-27,Chennai,13.1,80.29,31.2,25.6,0.0,24.2,3
2026-08-28,Chennai,13.1,80.29,32.4,25.0,14.2,18.0,63
2026-08-29,Chennai,13.1,80.29,31.9,25.6,3.1,21.8,80
2026-08-30,Chennai,13.1,80.29,31.4,25.0,0.0,25.5,1
2026-08-31,Chennai,13.1,80.29,32.6,25.6,5.8,19.2,61
2026-09-01,Chennai,13.1,80.29,32.1,25.0,0.0,23.0,2
2026-09-02,Chennai,13.1,80.29,31.5,25.6,1.2,26.8,3
2026-08-04,Kamarajar,13.25,80.32,31.0,25.0,0.0,18.0,1
2026-08-05,Kamarajar,13.25,80.32,32.3,25.6,2.4,21.8,2
2026-08-06,Kamarajar,13.25,80.32,31.7,25.0,8.6,25.5,61
2026-08-07,Kamarajar,13.25,80.32,31.2,25.6,0.0,19.2,3
2026-08-08,Kamarajar,13.25,80.32,32.4,25.0,14.2,23.0,63
2026-08-09,Kamarajar,13.25,80.32,31.9,25.6,3.1,26.8,80
2026-08-10,Kamarajar,13.25,80.32,31.4,25.0,0.0,20.5,1
2026-08-11,Kamarajar,13.25,80.32,32.6,25.6,5.8,24.2,61
2026-08-12,Kamarajar,13.25,80.32,32.1,25.0,0.0,18.0,2
2026-08-13,Kamarajar,13.25,80.32,31.5,25.6,1.2,21.8,3
2026-08-14,Kamarajar,13.25,80.32,31.0,25.0,0.0,25.5,1
2026-08-15,Kamarajar,13.25,80.32,32.3,25.6,2.4,19.2,2
2026-08-16,Kamarajar,13.25,80.32,31.7,25.0,8.6,23.0,61
2026-08-17,Kamarajar,13.25,80.32,31.2,25.6,0.0,26.8,3
2026-08-18,Kamarajar,13.25,80.32,32.4,25.0,14.2,20.5,63
2026-08-19,Kamarajar,13.25,80.32,31.9,25.6,3.1,24.2,80
2026-08-20,Kamarajar,13.25,80.32,31.4,25.0,0.0,18.0,1
2026-08-21,Kamarajar,13.25,80.32,32.6,25.6,5.8,21.8,61
2026-08-22,Kamarajar,13.25,80.32,32.1,25.0,0.0,25.5,2
2026-08-23,Kamarajar,13.25,80.32,31.5,25.6,1.2,19.2,3
2026-08-24,Kamarajar,13.25,80.32,31.0,25.0,0.0,23.0,1
2026-08-25,Kamarajar,13.25,80.32,32.3,25.6,2.4,26.8,2
2026-08-26,Kamarajar,13.25,80.32,31.7,25.0,8.6,20.5,61
2026-08-27,Kamarajar,13.25,80.32,31.2,25.6,0.0,24.2,3
2026-08-28,Kamarajar,13.25,80.32,32.4,25.0,14.2,18.0,63
2026-08-29,Kamarajar,13.25,80.32,31.9,25.6,3.1,21.8,80
2026-08-30,Kamarajar,13.25,80.32,31.4,25.0,0.0,25.5,1
2026-08-31,Kamarajar,13.25,80.32,32.6,25.6,5.8,19.2,61
2026-09-01,Kamarajar,13.25,80.32,32.1,25.0,0.0,23.0,2
2026-09-02,Kamarajar,13.25,80.32,31.5,25.6,1.2,26.8,3
2026-08-04,V.O.Chidambaranar,8.8,78.2,31.0,25.0,0.0,18.0,1
2026-08-05,V.O.Chidambaranar,8.8,78.2,32.3,25.6,2.4,21.8,2
2026-08-06,V.O.Chidambaranar,8.8,78.2,31.7,25.0,8.6,25.5,61
2026-08-07,V.O.Chidambaranar,8.8,78.2,31.2,25.6,0.0,19.2,3
2026-08-08,V.O.Chidambaranar,8.8,78.2,32.4,25.0,14.2,23.0,63
2026-08-09,V.O.Chidambaranar,8.8,78.2,31.9,25.6,3.1,26.8,80
2026-08-10,V.O.Chidambaranar,8.8,78.2,31.4,25.0,0.0,20.5,1
2026-08-11,V.O.Chidambaranar,8.8,78.2,32.6,25.6,5.8,24.2,61
2026-08-12,V.O.Chidambaranar,8.8,78.2,32.1,25.0,0.0,18.0,2
2026-08-13,V.O.Chidambaranar,8.8,78.2,31.5,25.6,1.2,21.8,3
2026-08-14,V.O.Chidambaranar,8.8,78.2,31.0,25.0,0.0,25.5,1
2026-08-15,V.O.Chidambaranar,8.8,78.2,32.3,25.6,2.4,19.2,2
2026-08-16,V.O.Chidambaranar,8.8,78.2,31.7,25.0,8.6,23.0,61
2026-08-17,V.O.Chidambaranar,8.8,78.2,31.2,25.6,0.0,26.8,3
2026-08-18,V.O.Chidambaranar,8.8,78.2,32.4,25.0,14.2,20.5,63
2026-08-19,V.O.Chidambaranar,8.8,78.2,31.9,25.6,3.1,24.2,80
2026-08-20,V.O.Chidambaranar,8.8,78.2,31.4,25.0,0.0,18.0,1
2026-08-21,V.O.Chidambaranar,8.8,78.2,32.6,25.6,5.8,21.8,61
2026-08-22,V.O.Chidambaranar,8.8,78.2,32.1,25.0,0.0,25.5,2
2026-08-23,V.O.Chidambaranar,8.8,78.2,31.5,25.6,1.2,19.2,3
2026-08-24,V.O.Chidambaranar,8.8,78.2,31.0,25.0,0.0,23.0,1
2026-08-25,V.O.Chidambaranar,8.8,78.2,32.3,25.6,2.4,26.8,2
2026-08-26,V.O.Chidambaranar,8.8,78.2,31.7,25.0,8.6,20.5,61
2026-08-27,V.O.Chidambaranar,8.8,78.2,31.2,25.6,0.0,24.2,3
2026-08-28,V.O.Chidambaranar,8.8,78.2,32.4,25.0,14.2,18.0,63
2026-08-29,V.O.Chidambaranar,8.8,78.2,31.9,25.6,3.1,21.8,80
2026-08-30,V.O.Chidambaranar,8.8,78.2,31.4,25.0,0.0,25.5,1
2026-08-31,V.O.Chidambaranar,8.8,78.2,32.6,25.6,5.8,19.2,61
2026-09-01,V.O.Chidambaranar,8.8,78.2,32.1,25.0,0.0,23.0,2
2026-09-02,V.O.Chidambaranar,8.8,78.2,31.5,25.6,1.2,26.8,3
